,Animal ID,ARN,Animal Name,Animal Type,Species,Primary Breed,Secondary Breed,Distinguishing Markings,Gender,Altered,Danger,Danger Reason,Date Of Birth,Age in Months Intake,Age Group,Intake Asilomar Status,Intake Condition,Intake Record Owner,Intake Date,Intake Type,Intake Subtype,Found Address,Found Zip Code,Reason,Intake SiteName,Jurisdiction In,Agency Name,Agency Member,Agency Member Phone,Agency Address,Intake Person ID,Intake Person ID Type,Intake Person  ,Admitter,Street Number,Street Name,Street Type,Street Direction,Street Direction2,Unit Number,City,Province,Postal Code,Admitter s Email,Admitter s Home Phone,Admitter s Cell Phone,Initial Stage,Initial Review Date,Age in Months Current,Microchip Issue Date,Microchip Provider,Microchip Number,Pet ID,Pet ID Type,Status,Stage,Location,Sublocation,Outcome Asilomar Status,Outcome Number,Released By,Date Created,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome SiteName,Jurisdiction Out,Outcome Reason,Outcome Person #,Outcome Person ID Type,Outcome Person  ,Outcome Person Name,Out Street Address,Out Street Name,Out Street Type,Out Street Direction,Out Street Direction2,Out Unit Number,Out City,Out Province,Out Postal Code,Out Email,Out Home Phone,Out Cell Phone,Outcome Agency Name,Agency Street Number,Agency Street Name,Agency Street Type,Agency Street Direction,Agency Street Direction 2,Agency Unit Number,Agency City,Agency Province,Agency Postal Code,Agency Email,Agency Home Phone,Agency Cell Number,,
11,A38039047,NA,Big River FKA Big Tuna,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,,NA,2 to 4 years,,Healthy,Kyle Johnson,3/12/2018 9:42,Stray,Public Drop Off,14XX S Newkirk,19146,,Grays Ferry Avenue,19146—Schuylkill S,,,,,,,P30088698,Kaitlyn Teuton,2221,Parkway,Pike,S ,,,PHILADELPHIA,PA,18969,rythe@qdxanfezst.kaz,(264) 233-2330,,New Arrival,,NA,3/12/2018 0:00,24PetWatch,155000000000000,NA,NA,I,Released,Released,NA,,2271,"el-Sesay, Ghazaala",4/2/2018 16:38,4/2/2018 16:37,4/2/2018 16:37,Adoption,PAC,PAC,,,66267672,Driver License,P30229586,Anna Estrada,717,Duveen,Way,,,,PHILADELPHIA,PA,19070,vut@mos.aqp,(444) 444-4484,,,,,,,NA,NA,,,NA,,NA,NA,,
12,A38061652,NA,Reds,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,,NA,2 to 4 years,Healthy,Healthy,Jd Gilman,3/13/2018 14:44,Stray,Public Drop Off,found as stray,19115,,Grant Avenue,19115—Bustleton (South) NE,,,,,,,P30105956,Stacia Hunter,4040,Warminster,Trail,,,2202,PHILADELPHIA,PA,19141,,(142) 329-4944,,New Arrival,,NA,3/22/2018 0:00,24PetWatch,971000000000000,NA,NA,I,Released,Released,NA,Healthy,494,"al-Akbar, Kaatima",4/4/2018 16:05,4/4/2018 16:04,4/4/2018 16:04,Adoption,Grant Avenue,Grant Avenue,,,2222226,Driver License,P30243469,Rachael Rael,5455,Birch,Parkway,,,,BENSALEM,PA,33166,,(253) 663-5206,,,,,,,NA,NA,,,NA,,NA,NA,,
13,A38093282,NA,Fishboat Charlie,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,,NA,1 to 2 years,,Healthy,Briana Mporampora,3/19/2018 10:07,Stray,Public Drop Off,Temple Cats,19121,,Grays Ferry Avenue,19121—Fairmount N/Brewerytown,,,,,,,P23317087,Terrell Stevenson,4444,Hillcrest,Pike,W ,,3F,PHILADELPHIA,PA,19355,hlzoyetsn@psmktcf.tvp,(114) 444-1044,,New Arrival,,NA,3/19/2018 0:00,24PetWatch,951515000000000,NA,NA,I,Released,Released,NA,Healthy,1435,"Guerin, Samantha",4/12/2018 14:09,4/12/2018 14:07,4/12/2018 14:07,Adoption,Grant Avenue,Grant Avenue,,,20 012 022,Driver License,P30295912,Thomas Wilson,5002,Bread,Lane,,,,PHILADELPHIA,PA,19317,,(432) 333-4033,(233) 570-2506,,,,,,NA,NA,,,NA,,NA,NA,,
14,A38093773,NA,Wilson,Cat,Cat,Maine Coon,Mix,,M,Yes,No,NA,,NA,4 to 6 years,,Healthy,Shaheera al-Shahidi,3/19/2018 10:57,Stray,Public Drop Off,19405,19405,,Grays Ferry Avenue,PA Outside City Limits,,,,,,,P22944371,Austin Current,110,Kimball,Walk,W ,,,BRIDGEPORT,PA,19148,,(121) 100-1222,,New Arrival,,NA,3/19/2018 0:00,24PetWatch,662525000000000,NA,NA,I,Released,Released,NA,,3000,"Langren, Molly",3/23/2018 18:48,3/23/2018 18:47,3/23/2018 18:47,Adoption,PAC,PAWS Offsite Adoptions,,,11661631,Driver License,P30169326,Match me,6222,Gregory's,Plaza,,,APT 5,PHILADELPHIA,PA,8057,mme@yaho2.net,(212) 555-6661,(711) 177-1177,,,,,,NA,NA,,,NA,,NA,NA,,
15,A38144842,NA,Amber Smith- Cardboard Box Supurrvisor,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,,NA,4 to 6 years,,Healthy,Gerald Fightmaster,3/25/2018 15:34,Stray,Public Drop Off,Temple Cats,19121,,Grays Ferry Avenue,19121—Fairmount N/Brewerytown,,,,,,,P23317087,Aadam el-Farah,6566,St. Christopher's,Terrace,W ,,74,PHILADELPHIA,PA,8107,lfzsjcn@roghv.lce,(633) 653-6053,,New Arrival,,NA,3/25/2018 0:00,24PetWatch,656564000000000,NA,NA,I,Released,Released,NA,,2979,"Love, Tamar",3/26/2018 16:02,3/26/2018 16:01,3/26/2018 16:01,Adoption,PAC,PAWS Offsite Adoptions,,,212153311,Passport,P30185443,Angel Rojo,1065,greene,Trail,N ,,,PHILADELPHIA,PA,19046,iez@bvnq.yas,(330) 303-7170,,,,,,,NA,NA,,,NA,,NA,NA,,
16,A38229624,NA,Vicky Moose,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,,NA,1 to 2 years,,Healthy,Madison Zamora,4/5/2018 12:42,Stray,Project Meow,unknown,19143,,Grays Ferry Avenue,19143—Kingsessing SW,,,,,,,P28315862,Allen Nguyen-Duong,3500,Clinton,Court,,,,PHILADELPHIA,PA,8033,,(882) 322-3553,,New Arrival,,NA,4/5/2018 0:00,24PetWatch,582328000000000,NA,NA,I,Released,Released,NA,,1420,"el-Hallal, Waneesa",5/1/2018 15:56,5/1/2018 15:55,5/1/2018 15:55,Adoption,Grant Avenue,Grant Avenue,,,85855100,Driver License,P30420935,Marcus Marfizo,1007,Henry,Drive,,,,PHILADELPHIA,PA,19127,,(626) 882-2888,,,,,,,NA,NA,,,NA,,NA,NA,,
17,A38266033,NA,Fletcher FKA Simon,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,,NA,1 to 2 years,,Healthy,Jovonnie Gallegos,4/10/2018 11:51,Stray,Public Drop Off,22XX Montrose,19146,,Grays Ferry Avenue,19146—Schuylkill S,,,,,,,P14533139,Chager Bartling,3337,Nicholas,Alley,,,,PHILADELPHIA,PA,8053,,,(380) 788-8777,New Arrival,,NA,4/10/2018 0:00,24PetWatch,767674000000000,NA,NA,I,Released,Released,NA,,3380,"al-Koroma, Abdul Hameed",4/16/2018 18:26,4/16/2018 18:25,4/16/2018 18:25,Adoption,PAC,PAC,,,11161111,Driver License,P30323094,Esther Saeed,4212,Leon,Street,,,,PHILADELPHIA,PA,8060,ihc@fiwljgyp.rqv,(941) 949-0099,,,,,,,NA,NA,,,NA,,NA,NA,,
18,A38266748,NA,Newborn,Cat,Cat,Domestic Shorthair,Mix,,U,No,No,NA,,NA,Less than 4 weeks,Healthy,Under 7 Weeks,Anna Rangel,4/10/2018 12:37,Stray,Public Drop Off,29th and Tasker,19146,,Grays Ferry Avenue,19146—Schuylkill S,,,,,,,P30280391,Rebecca La,2622,Florence,Lane,S ,,,PHILADELPHIA,PA,19438,,(555) 902-9525,,New Arrival,,NA,,,,NA,NA,H,Released,Released,NA,Healthy,1549,,4/10/2018 14:28,4/10/2018 14:28,,Euthanasia,35 Non Treatable Medical,Grays Ferry Avenue,,,,,,,,,,,,,,,NA,,,,,,,,,NA,NA,,,NA,,NA,NA,,
19,A38274871,NA,Bosco,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,,NA,6 months to 1 year,,Healthy,Jacob Hernandez,4/10/2018 9:32,Stray,Project Meow,PM,19143,,Grays Ferry Avenue,19143—Kingsessing SW,,,,,74004075,Driver License,P09511042,Sirdushene Lovett,3106,Summerdale,Park,,,,PHILADELPHIA,PA,19006,dmrky@wuzysmxc.yvm,,(123) 221-0236,New Arrival,,NA,4/11/2018 0:00,24PetWatch,188884000000000,NA,NA,I,Released,Released,NA,,2963,"Hinson, Elise",5/17/2018 16:28,5/17/2018 16:27,5/17/2018 16:27,Adoption,Petsmart Oregon Avenue,PAWS Offsite Adoptions,,,33333131,Driver License,P30527382,Karen Sandoval,1111,Scarlett Oak,Court,S ,,,PHILADELPHIA,PA,19382,js@opvgdqn.pch,(541) 514-5550,,,,,,,NA,NA,,,NA,,NA,NA,,
20,A38290077,NA,Tina Biggums,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,,NA,1 to 2 years,Treatable-Rehabilitatable,Sick,Meagan Harris,4/12/2018 15:10,Transfer In,Partner Transfer In,,19106,Rescue,Grant Avenue,,ACCT Philly,Wyatt White Bear,(213) 114-1100,111 W  Hunting Park Avenue  ,,,P05766300,Eugene Wood,111,Napa,,W ,,,PHILADELPHIA,PA,19123,,(252) 225-2200,,New Arrival,,NA,5/22/2018 0:00,24PetWatch,966666000000000,NA,NA,I,Released,Released,NA,Treatable-Rehabilitatable,482,"el-Akhtar, Noori",5/29/2018 14:02,5/29/2018 14:00,5/29/2018 14:00,Adoption,Grant Avenue,Grant Avenue,,,22442441,Driver License,P30600639,Cyrus Fazio,6611,Dunlap,Lane,E ,,,PHILADELPHIA,PA,8051,gfckwrld@foq.aub,(443) 334-5443,,,,,,,NA,NA,,,NA,,NA,NA,,
21,A38347407,NA,Gus,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,,NA,1 to 2 years,,Healthy,Michael Montez,4/19/2018 15:35,Stray,Project Meow,53XX Chancelor,19143,,Grays Ferry Avenue,19142—Paschall/Elmwood SW,,,,,22006035,Driver License,P09511042,Vanessa Chavez Herrera,7407,Perrin,Road,,,,PHILADELPHIA,PA,19123,tgkqoriu@bjgyq.aux,,(214) 112-0444,New Arrival,,NA,4/19/2018 0:00,24PetWatch,674545000000000,NA,NA,I,Released,Released,NA,,3355,"Whomble, Megan",5/4/2018 14:18,5/4/2018 14:16,5/4/2018 14:16,Adoption,PAC,PAC,,,35808388,Driver License,P30441389,Muzaina el-Faraj,8203,Patton,Crossing,E ,,7577,PHILADELPHIA,PA,15009,gikftpsydj@nij.nvf,(584) 510-4458,,,,,,,NA,NA,,,NA,,NA,NA,,
22,A38371337,NA,Sunkiss,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,,NA,1 to 2 years,,Healthy,Shay'Aujanae Jones,4/23/2018 11:12,Stray,Public Drop Off,100 N Broad,19106,,Grays Ferry Avenue,19102—Center City W,,,,,,,P03575672,Sherron Hinton,52,Media,Way,N ,,,PHILADELPHIA,PA,19152,st@vadwjbt.sld,(555) 653-5333,(214) 214-1444,New Arrival,,NA,4/24/2018 0:00,24PetWatch,835555000000000,NA,NA,I,Released,Released,NA,,2948,"Aweida, Hayato",5/16/2018 16:52,5/16/2018 16:51,5/16/2018 16:51,Adoption,Petsmart Oregon Avenue,PAWS Offsite Adoptions,,,44714404,Driver License,P30520623,Alexander Sloan,2282,Large,Court,W ,,,PHILADELPHIA,PA,18411,y@kdlegwph.wtr,(337) 881-3981,,,,,,,NA,NA,,,NA,,NA,NA,,
23,A38371371,NA,Butterfly,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,,NA,1 to 2 years,,Healthy,Kyla Acosta,4/23/2018 11:15,Stray,Public Drop Off,9XX Mountain,19148,,Grays Ferry Avenue,19148—South Philadelphia W,,,,,,,P10192685,Alexander Stiens,111,Brookshire,Place,,,,PHILADELPHIA,PA,19123,iytxwojrgq@dpilaeq.ynt,,(614) 411-1611,New Arrival,,NA,4/24/2018 0:00,24PetWatch,933331000000000,NA,NA,I,Released,Released,NA,,3349,"Burkett, Hannah",4/28/2018 14:16,4/28/2018 14:15,4/28/2018 14:15,Adoption,PAC,PAC,,,777333103,Driver License,P30401986,Cierra Edmond,6113,17,Street,,,,PHILADELPHIA,PA,19468,lqb@yabwzlrd.bsy,,(412) 230-3034,,,,,,NA,NA,,,NA,,NA,NA,,
24,A38385998,NA,3,Cat,Cat,Domestic Shorthair,Mix,,U,No,No,NA,,NA,Less than 4 weeks,Treatable-Rehabilitatable,Under 7 Weeks,Michael Jimenez,4/24/2018 16:29,Transfer In,Partner Transfer In,,19140,Rescue,Grant Avenue,,ACCT Philly,Austin Meyer,(443) 144-1400,111 W  Hunting Park Avenue  ,,,P05766300,Dustin Santiago,222,Lombard,,W ,,,PHILADELPHIA,PA,19083,,(223) 242-2400,,New Arrival,,NA,,,,NA,NA,H,Released,Released,NA,Unhealthy/Untreatable,1594,,5/17/2018 14:32,5/17/2018 14:31,,Euthanasia,35 Non Treatable Medical,Grant Avenue,,,,,,,,,,,,,,,NA,,,,,,,,,NA,NA,,,NA,,NA,NA,,
25,A38577803,NA,Tarder Sauce,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,,NA,4 to 6 years,,Healthy,Dominic Braud,5/16/2018 13:42,Stray,Public Drop Off,Temple Cats,19107,,Grays Ferry Avenue,19107—Center City-Washington Square West/Chinatown,,,,,,,P20174211,Markel Butler,1031,Vaux,Boulevard,,,,,PA,19141,,(885) 888-8781,,New Arrival,,NA,5/16/2018 0:00,24PetWatch,321212000000000,NA,NA,I,Released,Released,NA,,3283,"Ironshield, Jacqueline",6/9/2018 16:39,6/9/2018 16:38,6/9/2018 16:38,Adoption,PAC,PAC,,,12222221,Driver License,P30683785,Aaron Cordova,4404,Melon,Place,,,,PHILADELPHIA,PA,19125,,,(534) 555-5550,,,,,,NA,NA,,,NA,,NA,NA,,
26,A38620424,NA,"Base Jumper Carols ""Danger"" Delatraz",Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,,NA,6 to 12 weeks,,Healthy,Margo Banuelos,5/21/2018 14:45,Stray,Public Drop Off,unknown,19139,,Grays Ferry Avenue,19139—West Market W,,,,,,,P09994564,Saul Contreras,2244,Unruh,Drive,,,,PHILADELPHIA,PA,21075,,(155) 111-5555,,New Arrival,,NA,,,,NA,NA,I,Released,Released,NA,,2238,"Williams, Briana",5/26/2018 12:19,5/26/2018 12:18,5/26/2018 12:18,Adoption,PAC,PAC,,,77757707,Driver License,P30585786,Katelyn Law,304,Willow Grove,Square,S ,,Apt #1,PHILADELPHIA,PA,8077,uqnrhewbjo@zhrfn.yim,(308) 222-3333,,,,,,,NA,NA,,,NA,,NA,NA,,
27,A38620429,NA,Stunt Coordinator Fernando Delatraz,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,,NA,6 to 12 weeks,,Healthy,Nuzha el-Satter,5/21/2018 14:45,Stray,Public Drop Off,unknown,19139,,Grays Ferry Avenue,19139—West Market W,,,,,,,P09994564,Shadow Nading,3577,Christian,Lane,,,,PHILADELPHIA,PA,19111,,(118) 883-3111,,New Arrival,,NA,5/23/2018 0:00,24PetWatch,742722000000000,NA,NA,I,Released,Released,NA,,2239,"Brehe, Haydee",5/26/2018 12:19,5/26/2018 12:18,5/26/2018 12:18,Adoption,PAC,PAC,,,44914404,Driver License,P30585786,Cameron Hight,107,horsham,Circle,S ,,120,PHILADELPHIA,PA,19143,zi@ciql.wop,(404) 343-4444,,,,,,,NA,NA,,,NA,,NA,NA,,
28,A38628416,NA,Tiny Kitten,Cat,Cat,Domestic Shorthair,Mix,,U,No,No,NA,,NA,4 to 6 weeks,Unhealthy/Untreatable,Sick,Camille Seipel,5/22/2018 12:34,Stray,Public Drop Off,Patton St,19146,,Grays Ferry Avenue,19146—Schuylkill S,,,,,,,P30556699,Damian Torres,4317,Bainbridge,Highway,S ,,,PHILADELPHIA,PA,19023,,(133) 311-0333,,New Arrival,,NA,,,,NA,NA,H,Released,Released,NA,Unhealthy/Untreatable,1552,,5/24/2018 9:46,5/22/2018 17:45,,Euthanasia,35 Non Treatable Medical,Grays Ferry Avenue,,,,,,,,,,,,,,,NA,,,,,,,,,NA,NA,,,NA,,NA,NA,,
29,A38689903,NA,Bart,Cat,Cat,Domestic Shorthair,Mix,,M,No,No,NA,,NA,Less than 4 weeks,,Healthy,Nathan Enriquez,5/29/2018 14:39,Transfer In,Partner Transfer In,,19140,Rescue,Grant Avenue,,ACCT Philly,Niekia Melott,(252) 151-1500,111 W  Hunting Park Avenue  ,,,P05766300,Bruce Eguino Silvas,555,Union,,W ,,,PHILADELPHIA,PA,19151,,(444) 124-1200,,Available,,NA,,,,NA,NA,H,Released,Released,NA,Unhealthy/Untreatable,17,,6/5/2018 11:06,6/2/2018 11:05,,Died,Unknown,Grant Avenue,,,,,,,,,,,,,,,NA,,,,,,,,,NA,NA,,,NA,,NA,NA,,
30,A38721811,NA,Street Walker,Cat,Cat,Domestic Shorthair,Mix,,U,No,No,NA,,NA,12 weeks to 6 months,Treatable-Rehabilitatable,Sick,Joel Cardoza,6/1/2018 12:55,Stray,Public Drop Off,Massey St,19142,,Grays Ferry Avenue,Southwest Philadelphia,,,,,,,P30622902,Hishma al-Kamel,2444,49,Circle,S ,,,,PA,19147,,(115) 501-1115,,New Arrival,,NA,,,,NA,NA,H,Released,Released,NA,Unhealthy/Untreatable,1554,,6/2/2018 10:03,6/1/2018 16:05,,Euthanasia,35 Non Treatable Medical,Grays Ferry Avenue,19146—Schuylkill S,,,,,,,,,,,,,,NA,,,,,,,,,NA,NA,,,NA,,NA,NA,,
